GLON,GLAT,RAh,RAm,RAs,DE_sign,DEd,DEm,DEs
304.7,-43.2,0,32,56.1,-1,73,48,19
303.1,-43.9,0,49,29.6,-1,73,10,56
303.2,-44.3,0,49,2.5,-1,72,50,52
302.9,-44.7,0,52,6.1,-1,72,26,6
303,-43.8,0,50,44.7,-1,73,16,5
303,-44.9,0,50,55.8,-1,72,13,55
302.9,-44.6,0,51,53,-1,72,31,45
302.9,-43.9,0,51,51.4,-1,73,10,38
302.8,-43.8,0,52,13.9,-1,73,19,13
302.8,-45.1,0,52,54,-1,71,58,8
302.6,-43.4,0,54,33.4,-1,73,41,4
123.6,-2.1,0,56,42.3,1,60,43,0
302.7,-44.7,0,53,55,-1,72,26,47
302.6,-45,0,54,36,-1,72,4,
302.6,-44.7,0,54,56.17,-1,72,26,27.6
302.2,-45,0,57,48.4,-1,72,2,42
302.2,-44.6,0,58,12.7,-1,72,30,45
302.1,-45.4,0,59,11.3,-1,71,38,45
301.9,-45,1,1,1.1,-1,72,6,57
301.6,-44.9,1,3,13.9,-1,72,9,14
301.9,-41.1,1,9,6.1,-1,74,44,40
301.4,-44.9,1,5,8.9,-1,72,11,44
301.3,-45,1,6,15.1,-1,72,5,25
301,-43.7,1,11,8.4,-1,73,16,46
125.7,2.6,1,18,2.8,1,65,17,19
125.9,1,1,18,31.9,1,63,44,24
300.4,-43.6,1,17,5.2,-1,73,26,35
300.4,-43.5,1,17,41.4,-1,73,30,49
129.2,-1.2,1,43,32.6,1,61,6,26
135.7,1.1,2,40,31.6,1,61,13,45
146.1,-2.2,3,34,59.9,1,53,10,23
163.1,-17.1,3,55,23,1,31,2,45
149.2,4.1,4,19,46,1,55,59,24
159.8,-1.3,4,40,59.9,1,44,31,51
281.9,-34.5,5,1,23.9,-1,70,33,33
277,-35.4,5,2,51.6,-1,66,26,25
277.8,-34.3,5,12,41.8,-1,67,17,23
280.1,-33.6,5,16,0.1,-1,69,16,9
280.3,-33.2,5,20,30.3,-1,69,32,4
170,0.7,5,22,35.2,1,37,40,34
275.9,-32.9,5,29,48.4,-1,65,56,51
276.2,-32.7,5,31,13,-1,66,7,6
275.1,-32.7,5,31,36.1,-1,65,18,16
276.3,-32.5,5,32,49.2,-1,66,22,14
275.4,-32.6,5,32,25.3,-1,65,35,9
275.7,-32.6,5,32,32.6,-1,65,51,40.8
277.1,-32.2,5,35,5.9,-1,67,0,16
276.9,-32.2,5,35,40.5,-1,66,51,53
181.4,-2.6,5,38,54.6,1,26,18,57
275.3,-32.3,5,35,53.8,-1,65,30,34
273.6,-32.1,5,38,56.4,-1,64,5,1
280.2,-31.5,5,39,38.7,-1,69,44,36
280,-31.4,5,41,22.2,-1,69,36,29
278.8,-31.4,5,41,37.1,-1,68,32,32
276.5,-31.4,5,44,15.5,-1,66,33,50
281.6,-31,5,44,6.3,-1,71,0,50
181.3,1.9,5,55,54.7,1,28,47,6
206.1,-1,6,35,17.4,1,5,33,20.9
253.7,-19.1,6,48,4.6,-1,44,18,54.4
240.3,-4.1,7,28,53.4,-1,26,6,28
266.4,-13.7,7,47,23.5,-1,53,19,58
274,-16.2,7,56,15.8,-1,61,5,59
249.6,1.6,8,12,28.4,-1,31,14,51
262,-1.5,8,35,55,-1,43,11,6
263.1,3.9,9,2,6.9,-1,40,33,17
283,-1.8,10,9,46,-1,58,17,32
284.5,-0.2,10,25,56.6,-1,57,48,42
284.6,0.7,10,30,22.5,-1,57,4,39
285.4,1.5,10,37,35.2,-1,56,47,59
288.2,-0.5,10,50,7.9,-1,59,53,16
292.5,-0.9,11,20,57.2,-1,61,54,58
292.1,0.3,11,21,15.2,-1,60,37,24
295.6,-0.2,11,48,0.1,-1,62,12,25
295.5,0,11,47,28.6,-1,61,57,14
300.1,0,12,26,37.6,-1,62,46,13
301.8,2.6,12,42,1.7,-1,60,12,6
302.5,2.2,12,47,35,-1,60,38,36
302.7,3.8,12,49,36,-1,59,7,18
302,-0.2,12,42,50.4,-1,63,3,32
302.1,-12.5,12,39,15,-1,75,22,12
303.4,5.7,12,54,37,-1,57,10,6
302.1,1.2,13,1,17.2,-1,61,36,7
306.8,0.61,13,24,26.3,-1,62,0,53
313,-1.6,14,21,12.9,-1,62,41,54
317.6,-0.44,14,52,49.3,-1,59,49,18
327.4,2.1,15,42,23.3,-1,52,23,10
327.9,-0.9,15,57,49.2,-1,54,24,52
327,-1.2,15,54,22,-1,55,19,44
344.4,0.3,17,0,47.9,-1,41,40,23
347.8,2.2,17,3,56.7,-1,37,50,39
344,0.25,17,0,5.3,-1,41,57,44
351.5,-0.6,17,25,55,-1,36,24,42
358.1,0.56,17,38,53,-1,30,15,36
358.6,-0.74,17,39,30.1,-1,29,42,7
1.36,1.1,17,44,45.4,-1,27,13,47
1.7,0.1,17,49,10.1,-1,27,25,16
2.4,0.5,17,49,12,-1,26,38,50
18.6,3.9,18,10,42,-1,10,52,
16.5,0.07,18,20,29.5,-1,14,34,24
17.9,-1.29,18,26,14.9,-1,14,50,29
24.5,-0.2,18,36,28.9,-1,7,36,21
26.6,-0.5,18,41,42,-1,5,51,
27.9,0.1,18,41,48,-1,4,27,
33.1,1.7,18,45,30,1,0,57,
29.7,-0.5,18,47,24,-1,3,9,
30.4,-0.4,18,48,17.7,-1,2,25,13
28.8,-1.22,18,47,41,-1,4,30,12
31.3,-2.7,18,58,0,-1,2,44,
31.1,-2.15,18,55,42,-1,2,37,
36.7,-0.07,18,58,36,1,3,21,
37.2,-1.4,19,4,12,1,3,10,30
42.6,1.04,19,5,20,1,9,2,30
43.7,0.5,19,9,37.9,1,9,49,49
39.7,-2.2,19,11,49.6,1,4,58,58
85.9,15.9,19,32,52.3,1,53,52,45
63.2,1.38,19,45,38,1,27,21,38
66.1,2.1,19,49,35.6,1,30,12,31
64.9,1.8,19,48,0,1,32,0,
68.4,1.9,19,55,43.3,1,32,6,3
71.3,3.1,19,58,21.7,1,35,12,6
77.2,-1.3,20,32,15.3,1,37,38,15
79.9,0.7,20,32,25.7,1,40,57,28
85.2,5.02,20,30,30.6,1,47,51,46
83.5,-2.75,20,59,0,1,41,43,
87.1,0.71,21,3,33,1,45,45,0
99,3.3,21,39,34,1,57,3,36
97.3,-4,22,1,38.2,1,50,10,4
100.6,-1.1,22,7,57,1,54,31,6
106.4,3.1,22,26,33.1,1,61,14,17
107.7,2.3,22,39,20.9,1,61,16,26.8
