,GLON,GLAT,RAh,RAm,RAs,DE_sign,DEd,DEm,DEs
0,121.3,-29.8,0,44,50.4,1,33,1,17
1,197.3,-11.9,4,18,29.9,1,32,47,24
2,244.5,-35,5,14,6.6,-1,40,2,37
3,283.1,-32.7,5,20,29.2,-1,71,57,36
4,279.9,-32.1,5,32,42.8,-1,69,26,18
5,200.9,-3.4,6,17,7.3,1,9,8,13
6,210,-6.5,6,22,44.5,-1,0,20,45
7,220.2,-1.7,6,58,27,-1,7,15,50
8,280,-19.3,7,48,33.8,-1,67,45,9
9,167.5,36.9,8,35,56,1,51,18,36
10,261.9,-1.1,8,37,23,-1,42,53,9
11,275.9,-3.8,9,20,26.8,-1,55,12,24
12,281.8,-9.3,9,22,34.7,-1,63,17,42
13,275.4,9.4,10,13,36,-1,45,4,35
14,157.6,62.3,11,18,10.85,1,48,2,12.9
15,295,-6.1,11,26,26.7,-1,68,40,33
16,303.5,-6.4,12,57,37.2,-1,69,17,21
17,307.1,0.2,13,26,36.1,-1,62,8,10
18,310,-2.8,13,58,9.7,-1,64,44,5
19,332.2,23.9,14,58,22,-1,31,40,8
20,322.1,0,15,20,40.9,-1,57,10,1
21,320.3,-4.4,15,28,17.2,-1,61,52,58
22,330.9,54,15,47,8.6,-1,47,40,10
23,321.8,-6.3,15,47,54.8,-1,62,34,5
24,325.9,-1.8,15,50,58.78,-1,56,28,35
25,324.1,-5.9,16,1,2.3,-1,60,44,17
26,42.8,46.8,16,5,45.8,1,25,51,45
27,312.4,-18.7,16,3,54,-1,77,53,6
28,330.9,-0.9,16,12,43,-1,52,25,23
29,359.1,23.8,16,19,55.1,-1,15,38,25
30,334.9,-0.3,16,28,2.4,-1,49,11,25
31,321.8,-13.1,16,32,16.8,-1,67,27,43
32,336.9,0.3,16,34,0.4,-1,47,23,39
33,336.9,-0.4,16,36,28,-1,47,49,37
34,332.9,-4.8,16,40,55.5,-1,53,45,5
35,339.6,-0.1,16,45,47.7,-1,45,36,40
36,345,2.5,16,54,0.137,-1,39,50,44.9
37,58.2,37.5,16,57,49.8,1,35,20,33
38,353.8,7.3,17,2,6.3,-1,29,56,45
39,338.9,-4.3,17,2,49.5,-1,48,47,23
40,349.1,2.7,17,5,44.5,-1,36,25,22
41,343.9,-1.3,17,6,15.3,-1,43,2,10
42,45.2,33,17,6,34.6,1,23,58,18
43,358.2,9.1,17,8,14.6,-1,25,5,29
44,343.8,-2.3,17,8,54.7,-1,44,6,2
45,346.3,-0.9,17,12,23,-1,40,50,36
46,357.5,7.9,17,9,30.2,-1,26,39,27
47,356.4,6.9,17,10,12.3,-1,28,7,54
48,352.1,2.7,17,14,19.2,-1,34,2,58
49,348.9,0.94,17,12,34,-1,37,38,36
50,354.1,3.1,17,18,47.4,-1,32,10,40
51,359.8,7.6,17,19,36.9,-1,25,1,3
52,347.3,-1.6,17,18,24.13,-1,40,29,30.4
53,350.2,-0.86,17,23,38,-1,37,39,42
54,352.2,-0.5,17,27,39,-1,35,44,4
55,356.3,2.3,17,27,33.2,-1,30,48,7
56,354.3,-0.2,17,31,57.4,-1,33,50,5
57,8.5,9,17,31,44.2,-1,16,57,42
58,1.9,4.8,17,32,2.2,-1,24,44,44
59,356.3,1.6,17,33,32,-1,31,13,
60,354.8,-0.2,17,33,24.1,-1,33,23,16
61,4.5,5.9,17,33,57,-1,22,2,7
62,1.1,3.6,17,34,13,-1,26,5,9
63,357.6,0.9,17,35,47.6,-1,30,28,56
64,0.16,2.59,17,36,2,-1,27,25,33
65,358.84,1.4,17,37,25,-1,29,10,48
66,0.78,2.4,17,38,16,-1,27,0,16
67,346.1,-7,17,38,58.3,-1,44,27,0
68,359.6,1.56,17,38,34,-1,28,29,
69,358.63,0.7,17,39,33,-1,29,43,26
70,357.3,0.58,17,39,56,-1,30,59,
71,0.01,1.2,17,40,57,-1,28,18,36
72,0.66,1.17,17,42,37,-1,27,46,59
73,358.33,-0.3,17,42,44,-1,30,30,51
74,359.36,0.1,17,43,47,-1,29,26,
75,359.12,-0.1,17,43,54.7,-1,29,44,43
76,359.8,0.18,17,44,25.4,-1,29,0,45
77,359.5,-0.07,17,44,49,-1,29,21,6
78,357.1,-1.6,17,45,2,-1,32,13,38
79,356,0.13,17,45,1,-1,28,54,6
80,356.8,-1.9,17,45,29,-1,32,41,39
81,359.9,0.01,17,45,26.6,-1,28,59,0
82,359.56,-0.26,17,45,37,-1,29,27,
83,359.9,0,17,45,37,-1,29,1,7
84,359.95,-0.05,17,45,40.7,-1,29,0,11
85,0.14,0.06,17,45,42.9,-1,28,46,53
86,359.9,-0.11,17,45,52.9,-1,29,3,22
87,0.06,-0.063,17,46,0,-1,28,54,49
88,0.09,-0.06,17,46,4.9,-1,28,53,13
89,359.56,-0.39,17,46,6.2,-1,29,31,6
90,0.13,-0.0626,17,46,9.7,-1,28,51,4
91,0.25,-0.03,17,46,19.2,-1,28,44,7
92,0.11,-0.11,17,46,19.5,-1,28,53,43
93,0.21,-0.25,17,46,47,-1,28,53,41
94,359.3,-0.89,17,47,25.7,-1,29,59,43
95,0.04,0.31,17,44,33.1,-1,28,44,29
96,359.26,-0.9,17,47,25.9,-1,30,2,31
97,2.3,0.8,17,47,56,-1,26,33,49
98,354.1,-4.2,17,48,13.4,-1,36,7,53
99,359.9,-0.035,17,45,36,-1,29,1,34
100,3.8,1.5,17,48,56,-1,24,53,40
101,7.7,3.8,17,48,53.5,-1,20,22,2
102,356.9,-3.1,17,49,50.6,-1,33,11,55
103,357.5,-2.6,17,50,3.5,-1,32,25,43
104,353.5,-5,17,50,12.7,-1,37,3,8
105,19.8,22.73,17,50,25.7,-1,21,25,21
106,358.6,-2.2,17,50,45.5,-1,31,17,32
107,0.7,-0.21,17,48,5.06,-1,28,28,25.8
108,7.73,3.8,17,48,53.4,-1,20,21,43
109,1.1,-1,17,52,16,-1,28,30,22
110,0.45,-0.94,17,50,24,-1,29,2,18
111,358.4,-2.6,17,52,24,-1,31,37,42
112,357.2,-4.9,17,58,40,-1,33,48,27
113,358,-3.6,17,55,28.6,-1,32,28,39
114,5.1,-1,18,1,8.2,-1,25,4,45
115,4.5,-1.4,18,1,12.7,-1,25,44,26
116,9.1,1.2,18,1,32.3,-1,20,31,44
117,6.1,-1.9,18,6,50.2,-1,24,35,15
118,6.14,-1.9,18,6,51,-1,24,35,6
119,355.4,-8.14,18,8,27.54,-1,36,58,44.3
120,5.2,-3.4,18,10,44.5,-1,26,9,1
121,13.5,0.1,18,14,31.1,-1,17,9,26
122,18.1,2.3,18,15,12,-1,12,5,0
123,16.4,1.3,18,16,1.4,-1,14,2,11
124,6.75,-4.79,18,19,21.48,-1,25,25,36
125,2.8,-7.9,18,23,40.6,-1,30,21,41
126,356.9,-11.3,18,25,46.8,-1,37,6,19
127,29.9,5.8,18,25,22.1,-1,0,0,44
128,9.3,-6,18,29,27,-1,23,47,29
129,1.5,-11.4,18,35,44,-1,32,58,55
130,36.1,4.8,18,39,57.5,1,5,2,9
131,29.9,-0.9,18,49,17.1,-1,3,3,44
132,25.4,-4.3,18,53,4.9,-1,8,42,20
133,38.27,1.26,18,56,39,1,5,19,48
134,54.05,8.59,18,58,41.58,1,22,39,29.4
135,35,3.7,19,8,27,1,0,10,8
136,35.7,-4.1,19,11,16,1,0,35,6
137,45.3,-0.9,19,15,17,1,10,58,6
138,31.4,-8.5,19,18,48,-1,5,14,9
139,49.3,0.4,19,20,17,1,14,41,39
140,35.3,-13.1,19,42,38,-1,3,54,
141,51.3,-9.3,19,59,24,1,11,42,30
142,63.4,-3.1,20,2,49.6,1,25,14,12
143,75.4,2.22,20,12,37.8,1,38,11,1.1
144,73.2,-2.2,20,24,3.8,1,33,52,4
145,58.1,-29.9,21,23,14.54,-1,5,47,52.9
146,65,-27.3,21,29,58.3,1,12,10,3
147,91.6,-3,21,31,26.2,1,47,17,24
148,87.3,-11.3,21,44,41.2,1,38,19,18
149,112.6,1.3,23,20,34.1,1,62,17,33
